job_role,industry,avg_salary_usd,experience_required_years,education_level,task_repetition_level,creativity_requirement,physical_labor_level,analytical_complexity,social_interaction_level,ai_tool_availability,ai_tool_maturity_score,percent_tasks_automatable,job_growth_rate,skill_complexity_score,regulation_strictness_level,ethical_risk_level,communication_requirement,domain_specific_knowledge_level,team_collaboration_level,ai_dependency_current,ai_dependency_future,training_hours_needed,job_demand_index,automation_risk_score
Graphic Designer,Manufacturing,79768,0,Master,0.5478708106372198,0.3424999930081374,0.3804444517659612,0.654976323062026,0.2588303100692805,Gemini,0.9459822674873012,0.7296109659769422,-0.09246312112089944,0.23609919000893176,0.6809291569366148,0.8036490630604574,0.7214629700191383,0.38629460373459035,0.7073382523289572,0.3793483556906142,0.39605841069402625,317,0.30542555542085426,0.7454619956580701
UX Designer,Retail,78128,11,Master,0.02396138512426982,0.0768494618612342,0.05651462438806232,0.06110707846893304,0.7487438516644832,Claude,0.3244075078147799,0.5046842334993359,-0.07254834401300864,0.037372409357312564,0.8815634021211409,0.09132244005330847,0.04999030299308338,0.4983839134807134,0.5061521972147519,0.6120595985723585,0.6712604873959325,21,0.010498302524240333,0.41944260790568244
Product Manager,Education,113123,6,High School,0.7642204838423086,0.3929444393733599,0.6776737747680467,0.436736677794641,0.16396211881807476,Claude,0.34750737414996824,0.5934491519510722,0.008406731864620043,0.4722684611433695,0.7306118412886762,0.8749782543465391,0.2035177884938355,0.16058270191960877,0.5306577890780703,0.9262168891690384,0.6653437832028017,55,0.16552537336521667,0.5631079176345221
Plumber,Education,138255,2,Bachelor,0.5809138982462784,0.6699263421613231,0.32820175053761746,0.9131087869195494,0.8466320532930678,Claude,0.870638364133171,0.9276835983463564,0.00769616303067347,0.3824088584867783,0.9523443218306524,0.6805600013304228,0.6212118928298676,0.19619671648026815,0.4499463531089096,0.8909834761550145,0.3090241617337166,146,0.7247312715297911,0.80121337611943
Doctor,Marketing,33174,5,Bachelor,0.6255895834697527,0.4698899080414396,0.46777626498603475,0.791284828925401,0.13190393883080087,AutoGPT,0.12904336287549323,0.39378252226967747,0.14307617265672282,0.8358861003150726,0.886245740636963,0.9270723169184654,0.4774695117128184,0.6020686234555838,0.5848467030993998,0.16966731527126577,0.18898490670549817,310,0.004424159548104933,0.25307144430312134
Graphic Designer,Tech,147769,6,Bachelor,0.05172088255465346,0.38372217471945447,0.6817284370551343,0.3054375022948572,0.035244449070156336,Midjourney,0.10806874964606106,0.10184371548609028,0.01648750847444186,0.6818675585264362,0.8552491781696736,0.8955104002489052,0.6046229799604435,0.6270044639405655,0.22967635593177216,0.6105078952728283,0.13132435844502477,301,0.5230554950436641,0.41290254818650973
Civil Engineer,Healthcare,65398,0,Master,0.2110383302086154,0.1191570455404648,0.9117745470241428,0.924805479191647,0.3950454189696678,Gemini,0.2827077840845025,0.3258262417030714,0.06951692686712332,0.14428593485608165,0.39154812981701015,0.3802620355687323,0.08896904283045914,0.3416069320780254,0.20751579982731938,0.0980178325401504,0.11377862757211232,146,0.4139861510286046,0.7295573162382514
Plumber,Manufacturing,165393,0,Bachelor,0.07433087235358016,0.24493904569365632,0.8254369156049984,0.32964649674772484,0.9794416419712951,Claude,0.5916359232744598,0.41520021473628643,0.023050250428335972,0.9871551404272687,0.3862123366889145,0.8568325218693683,0.6524225581047394,0.37402818798651793,0.9419644353617618,0.293878891484604,0.817699804243922,106,0.12287079064789908,0.9184277572298677
Plumber,Education,153549,12,High School,0.28891431580381177,0.10014328773835113,0.45059712910359984,0.07251549633756249,0.11034222778877723,Gemini,0.384300160110138,0.27296386986048826,-0.032520375271793356,0.7706407330017554,0.7412028398422075,0.5630160720193349,0.8036162570396713,0.5062285295362654,0.45040940429051024,0.5972702621240037,0.28614963340513444,433,0.685634283884137,0.2902997614949412
Accountant,Legal,102635,4,Bachelor,0.627439007682151,0.8074987316566608,0.3877831574463789,0.9940559567681135,0.10171844403962904,Copilot,0.6085544808356751,0.5289724052500503,-0.07363723372134998,0.7202375156836864,0.08374900624777837,0.1571143163666594,0.5462751829976551,0.9397924095792024,0.8271758089864095,0.08136475149862366,0.6785419158556603,171,0.6931238648475063,0.6227229443964397
